,X,Y,CLUSTER
CENTER,0.7578,-2.2885,1
CENTER,-0.5854,-1.4278,1
CENTER,0.1797,-0.1359,1
CENTER,0.4748,-1.5619,1
CENTER,-0.8785,-2.5035,1
CENTER,-0.3105,-1.2963,1
CENTER,-0.0914,-2.1126,1
CENTER,-0.2616,-0.3936,1
CENTER,-0.0502,2.5608,1
CENTER,-0.4592,-2.833,1
CENTER,-0.5677,-1.0713,1
CENTER,-0.5093,-1.9655,1
CENTER,-0.4622,-1.1488,1
CENTER,0.1502,-0.4763,1
CENTER,-0.3974,-0.0612,1
CENTER,0.067,-1.7703,1
CENTER,0.9554,-1.115,1
CENTER,0.2107,0.7974,1
CENTER,0.6082,-1.1986,1
CENTER,0.3011,0.4159,1
CENTER,0.1059,1.3267,1
CENTER,0.9695,-1.6751,1
CENTER,0.0194,-1.3708,1
CENTER,0.7466,-1.6280000000000001,1
CENTER,-0.2413,-1.7198,1
CENTER,0.0042,1.2496,1
CENTER,0.0523,-2.4831,1
CENTER,-0.0033,2.8113,1
CENTER,-0.2714,-2.3577,1
CENTER,0.1365,-2.1488,1
CENTER,-0.0199,0.8035,1
CENTER,0.0261,-0.8167,1
CENTER,0.6566,-1.6267,1
CENTER,0.4839,-0.9967,1
CENTER,0.0883,1.5046,1
CENTER,-0.8753,-1.2054,1
CENTER,-0.2099,-2.6793,1
CENTER,-0.1048,-1.2983,1
CENTER,-0.0623,-1.8145,1
CENTER,0.2012,-1.5964,1
CENTER,0.2673,-1.0267,1
CENTER,0.1372,1.0041,1
CENTER,0.7333,-2.6986,1
CENTER,0.4572,0.3729,1
CENTER,0.1166,1.7436,1
CENTER,0.244,-2.7939999999999996,1
CENTER,0.6282,-1.4466,1
CENTER,0.8389,-2.4952,1
CENTER,0.0433,0.39299999999999996,1
CENTER,0.5786,-1.4404,1
CENTER,0.1788,0.6661,1
CENTER,0.1187,2.1221,1
CENTER,-0.2337,-2.0105,1
CENTER,0.1069,2.5676,1
CENTER,0.0834,-0.9664,1
CENTER,0.3399,-0.0217,1
CENTER,-0.011000000000000001,1.3475,1
CENTER,-0.8166,-2.5279,1
CENTER,-0.1661,-0.0346,1
CENTER,-0.1629,1.7575,1
CENTER,0.0494,0.8632,1
CENTER,-0.4805,0.5419,1
CENTER,0.1616,-0.5764,1
CENTER,-0.6685,-1.8535,1
CENTER,-0.8988,-2.9338,1
CENTER,-0.3462,-1.5536,1
CENTER,-0.1806,-0.0612,1
CENTER,0.0945,2.8432,1
CENTER,0.3585,0.1504,1
CENTER,-0.2104,1.8887,1
CENTER,-0.3118,-0.4816,1
CENTER,0.5602,-2.7822,1
CENTER,-0.1424,1.5477,1
CENTER,-0.1189,-1.8251,1
CENTER,0.9259999999999999,-2.7923,1
CENTER,0.0271,-2.8298,1
CENTER,-0.3022,-2.0476,1
CENTER,-0.2705,0.2303,1
CENTER,-0.2618,-1.7132,1
CENTER,0.8486,-1.6257,1
CENTER,0.5418,-2.78,1
CENTER,-0.0968,-0.7637,1
CENTER,0.1236,1.7814,1
CENTER,-0.0273,1.6095,1
CENTER,-0.2569,-1.3935,1
CENTER,-0.1112,-1.7251,1
CENTER,0.5069,-2.5780000000000003,1
CENTER,0.0471,2.0537,1
CENTER,0.2961,0.0247,1
CENTER,-0.5297,-1.0351,1
CENTER,0.2445,2.2349,1
CENTER,-0.4624,-2.6283,1
CENTER,0.2197,-2.8946,1
CENTER,0.2473,1.8774,1
CENTER,-0.1358,1.146,1
CENTER,-0.3128,-1.2074,1
CENTER,0.4762,-1.6263,1
CENTER,0.1107,-1.1008,1
CENTER,-0.0421,0.0818,1
CENTER,-0.4556,-1.7918,1
CENTER,0.8236,-1.8669,1
CENTER,-0.8536,-1.4701,1
CENTER,0.5529999999999999,-1.9854,1
CENTER,-0.6463,-2.1825,1
CENTER,-0.1847,1.0779,1
CENTER,-0.6068,-1.8377,1
CENTER,-0.4364,-1.7971,1
CENTER,-0.3422,-2.8666,1
CENTER,0.3029,-1.9929,1
CENTER,0.0613,-2.1045,1
CENTER,-0.1262,-2.4024,1
CENTER,0.0621,0.4868,1
CENTER,-0.4637,-0.4121,1
CENTER,-0.4233,0.532,1
CENTER,-0.2414,-2.3797,1
CENTER,-0.7015,-1.6721,1
CENTER,0.7351,-1.2219,1
CENTER,-0.0906,-0.5711,1
CENTER,0.0891,-2.1554,1
CENTER,0.8954,-2.7343,1
CENTER,-0.1723,-1.0009,1
CENTER,-0.207,0.9966,1
CENTER,0.5312,-2.8216,1
CENTER,0.6132,-1.0373,1
CENTER,0.5521,-2.7752,1
CENTER,-0.0034,-0.5526,1
CENTER,-0.1563,-1.8972,1
CENTER,-0.4919,-0.4062,1
CENTER,0.8417,-1.4475,1
CENTER,0.7763,-1.5186,1
CENTER,-0.8398,-1.0986,1
CENTER,-0.8595,-1.4393,1
CENTER,0.5696,-2.8402,1
CENTER,-0.6126,-2.7047,1
CENTER,-0.3771,-1.3622,1
CENTER,0.8731,-1.8443,1
CENTER,0.7281,-2.8192,1
CENTER,-0.2697,-1.0174,1
CENTER,0.1373,-1.5632,1
CENTER,-0.5922,-2.4571,1
CENTER,0.7143,-2.9556,1
CENTER,0.9622,-2.5814,1
CENTER,-0.1556,-2.4761,1
CENTER,-0.0381,2.0885,1
CENTER,0.616,-1.3302,1
CENTER,0.1501,1.8398,1
CENTER,0.2431,-2.3097,1
CENTER,0.0485,-2.2259,1
CENTER,-0.4758,0.32899999999999996,1
CENTER,-0.4913,0.1646,1
CENTER,-0.7202,-2.963,1
CENTER,0.2474,1.4902,1
CENTER,-0.3612,-0.3388,1
CENTER,-0.2283,2.7432,1
CENTER,0.1261,1.8753,1
CENTER,0.0676,-2.0654,1
CENTER,-0.0434,0.9325,1
CENTER,-0.1354,0.5775,1
CENTER,0.496,-1.7765,1
CENTER,-0.4352,-2.6463,1
CENTER,-0.8137,-2.5131,1
CENTER,-0.0649,-1.15,1
CENTER,0.0675,0.1801,1
CENTER,-0.0761,2.4355,1
CENTER,-0.5056,-2.283,1
CENTER,0.2126,1.9792,1
CENTER,-0.132,-1.275,1
CENTER,0.0289,1.4277,1
CENTER,-0.4796,-1.2491,1
CENTER,-0.1386,-2.7197,1
CENTER,0.9257,-1.1643,1
CENTER,-0.9887,-2.2604,1
CENTER,-0.9758,-2.865,1
CENTER,0.3458,-0.0365,1
CENTER,-0.0381,2.3947,1
CENTER,-0.0443,-0.8159,1
CENTER,0.4468,-1.9982,1
CENTER,0.1105,2.5756,1
CENTER,-0.2441,-1.19,1
CENTER,-0.0331,0.3558,1
CENTER,0.1682,-1.2014,1
CENTER,0.6715,-2.9791,1
CENTER,-0.1227,-1.1113,1
CENTER,0.2399,1.1784,1
CENTER,-0.6541,-1.8071,1
CENTER,-0.1716,2.3105,1
CENTER,0.2039,1.0092,1
CENTER,-0.154,2.2496,1
CENTER,-0.3068,0.265,1
CENTER,-0.9089,-1.3775,1
CENTER,-0.2207,1.9078,1
CENTER,0.1321,-1.2847,1
CENTER,0.405,-2.3755,1
CENTER,0.2357,-2.3878,1
CENTER,0.3299,-1.0783,1
CENTER,0.3357,-1.1821,1
CENTER,-0.6139,-2.2628,1
CENTER,0.3759,-0.5925,1
CENTER,-0.107,-1.0167,1
CENTER,-0.48200000000000004,-2.0888,1
CENTER,-0.2651,-1.0485,1
CENTER,0.2954,-0.1399,1
CENTER,0.0682,-0.8035,1
CENTER,-0.2089,2.7181,1
CENTER,0.1871,-0.7981,1
CENTER,0.9973,-1.69,1
CENTER,0.8756,-2.39,1
CENTER,0.0125,-1.1558,1
CENTER,-0.2742,0.4463,1
CENTER,0.8771,-1.129,1
CENTER,-0.4067,0.0474,1
CENTER,-0.0086,-1.9747,1
CENTER,-0.0127,-1.324,1
CENTER,0.0693,2.0904,1
CENTER,0.8537,-2.2148,1
CENTER,-0.0548,-2.3318,1
CENTER,0.6101,-2.0532,1
CENTER,-0.1976,-0.2617,1
CENTER,-0.2152,0.9165,1
CENTER,0.7437,-1.8029,1
CENTER,-0.1444,-2.0505,1
CENTER,-0.0903,-1.6791,1
CENTER,0.0256,-0.3845,1
CENTER,-0.6364,-1.3794,1
CENTER,-0.0335,1.1265,1
CENTER,0.0303,0.1469,1
CENTER,-0.4141,-2.2158,1
CENTER,-0.0562,1.4761,1
CENTER,-0.0662,-2.532,1
CENTER,0.9198,-2.5273,1
CENTER,0.0989,2.6517,1
CENTER,-0.9033,-1.9068,1
CENTER,-0.7604,-2.3807,1
CENTER,0.8797,-2.5675,1
CENTER,-0.6731,-1.6368,1
CENTER,0.9676,-2.5667,1
CENTER,0.6413,-1.0848,1
CENTER,-0.3863,0.0044,1
CENTER,0.377,0.7012,1
CENTER,0.2835,-2.2829,1
CENTER,0.38299999999999995,-1.3536,1
CENTER,-0.0827,1.9555,1
CENTER,0.3494,-2.0448,1
CENTER,0.2814,-0.7681,1
CENTER,-0.0233,2.1918,1
CENTER,-0.1022,1.1687,1
CENTER,-0.2016,2.0559,1
CENTER,0.4093,-0.6704,1
CENTER,0.2241,1.749,1
CENTER,-0.1394,1.5632,1
CENTER,0.2285,0.7836,1
CENTER,0.0185,2.5695,1
CENTER,-0.8942,-2.1647,1
CENTER,0.0022,0.5901,1
CENTER,0.8645,-2.4061,1
CENTER,-0.5968,-1.0927,1
CENTER,-0.789,-2.6725,1
CENTER,-0.401,-1.2577,1
CENTER,-0.7941,-2.1255,1
CENTER,-0.6539,-1.2637,1
CENTER,-0.9601,-2.1659,1
CENTER,-0.9127,-2.4397,1
CENTER,0.4765,-1.8751,1
CENTER,-0.1807,-0.5257,1
CENTER,-0.5499,-1.2175,1
CENTER,-0.0532,-0.9719,1
CENTER,-0.6473,-1.31,1
CENTER,-0.0047,1.9571,1
CENTER,-0.4669,-1.5691,1
CENTER,-0.2317,-1.0032,1
CENTER,0.4671,-2.3771,1
CENTER,-0.3222,-1.5173,1
CENTER,0.9665,-2.1684,1
CENTER,-0.3426,-1.5178,1
CENTER,0.0866,-2.2358,1
CENTER,0.3242,-1.0224,1
CENTER,0.5135,-2.9291,1
CENTER,-0.9155,-2.3704,1
CENTER,-0.062,2.0193,1
CENTER,0.3049,-0.5636,1
CENTER,0.0367,-2.2381,1
CENTER,0.9726,-2.5858,1
CENTER,0.3678,-2.4349,1
CENTER,-0.2967,-0.6341,1
CENTER,-0.147,-0.5164,1
CENTER,-0.7356,-2.1685,1
CENTER,0.3347,-1.5883,1
CENTER,-0.2132,1.1674,1
CENTER,-0.0396,0.8125,1
CENTER,0.2414,1.6209,1
CENTER,0.5991,-1.7478,1
CENTER,0.7792,-2.5064,1
CENTER,-0.7016,-1.9171,1
CENTER,-0.1552,2.8676,1
CENTER,0.0318,0.4548,1
CENTER,0.4014,0.2703,1
CENTER,-0.8164,-2.3876,1
CENTER,0.016,1.0738,1
CENTER,-0.4762,-1.1362,1
CENTER,0.0649,0.4192,1
CENTER,-0.1227,2.0581,1
CENTER,-0.6659,-1.79,1
CENTER,-0.0229,-0.7826,1
CENTER,0.8022,-1.5196,1
CENTER,0.1489,-1.7506,1
CENTER,-0.8715,-1.9019,1
CENTER,0.4029,0.8696,1
CENTER,0.484,-0.8215,1
CENTER,0.9652,-1.9163,1
CENTER,0.0757,-1.2113,1
CENTER,-0.1273,-0.5796,1
CENTER,0.0552,-1.3257,1
CENTER,0.5464,-1.548,1
CENTER,0.6465,-2.1312,1
CENTER,0.7653,-1.8275,1
CENTER,0.3645,0.5891,1
CENTER,-0.9832,-2.0106,1
CENTER,0.7066,-1.9903,1
CENTER,-0.8493,-2.5845,1
CENTER,-0.3617,-2.6124,1
CENTER,-0.1896,1.3066,1
CENTER,0.6064,-2.474,1
CENTER,0.0104,-0.2707,1
CENTER,-0.2789,-1.7603,1
CENTER,-0.0565,1.1196,1
CENTER,0.5269,-2.8437,1
CENTER,-0.4894,-1.9266,1
CENTER,0.081,-1.0135,1
CENTER,-0.2278,0.9108,1
CENTER,0.0854,-0.6669,1
CENTER,0.1796,-0.0669,1
CENTER,0.9246,-1.8305,1
CENTER,-0.2174,-0.3334,1
CENTER,-0.5976,-1.0759,1
CENTER,-0.8274,-2.0543,1
CENTER,0.1992,2.6154,1
CENTER,-0.364,0.223,1
CENTER,0.0296,-1.4394,1
CENTER,0.1423,-0.7489,1
CENTER,-0.5944,-1.0738,1
CENTER,0.2303,-1.2264,1
CENTER,-0.6602,-2.8146,1
CENTER,-0.8872,-1.646,1
CENTER,0.0193,-2.4633,1
CENTER,-0.35,-2.8021,1
CENTER,0.2728,-2.1555,1
CENTER,-0.2086,-2.1973,1
CENTER,-0.6168,-2.9361,1
CENTER,-0.7041,-1.3159,1
CENTER,-0.0708,-0.8373,1
CENTER,-0.7096,-1.6993,1
CENTER,-0.8465,-1.764,1
CENTER,-0.7982,-2.0531,1
CENTER,0.2324,-0.4088,1
LEFT,-4.2993,-2.3559,2
LEFT,-5.4398,-0.539,2
LEFT,-5.8868,-1.8485,2
LEFT,-5.6369,-1.2226,2
LEFT,-5.2385,-1.2383,2
LEFT,-4.8902,1.8518,2
LEFT,-4.913,1.1428,2
LEFT,-5.7104,-1.2023,2
LEFT,-5.547999999999999,-1.5602,2
LEFT,-4.677,-2.8165,2
LEFT,-5.1003,0.3116,2
LEFT,-4.3058,-1.3775,2
LEFT,-4.908,0.948,2
LEFT,-5.072,0.37799999999999995,2
LEFT,-4.8316,2.6312,2
LEFT,-4.796,-1.3090000000000002,2
LEFT,-5.8108,-2.3397,2
LEFT,-5.9011,-2.1817,2
LEFT,-4.1879,-2.5958,2
LEFT,-4.3763,-2.7937,2
LEFT,-5.162000000000001,-1.4927,2
LEFT,-4.2068,-2.7755,2
LEFT,-5.2405,-1.5615,2
LEFT,-5.2165,1.3377,2
LEFT,-5.0121,0.4552,2
LEFT,-5.2808,-2.1022,2
LEFT,-5.3101,-1.8062,2
LEFT,-5.6542,-2.5708,2
LEFT,-4.8354,2.9973,2
LEFT,-4.4863,-2.5695,2
LEFT,-4.842,-0.1378,2
LEFT,-4.4646,-2.1269,2
LEFT,-5.0175,-2.4134,2
LEFT,-5.0998,2.6109,2
LEFT,-5.3089,-2.1369,2
LEFT,-5.1934,-2.1638,2
LEFT,-4.3169,-1.1056,2
LEFT,-4.7137,-2.0402,2
LEFT,-4.5992,-2.7775,2
LEFT,-5.0568,-0.2763,2
LEFT,-4.8672,-1.4334,2
LEFT,-4.7827,1.9318,2
LEFT,-4.9644,0.3705,2
LEFT,-4.9876,0.0718,2
LEFT,-4.7529,-2.073,2
LEFT,-5.4773,0.2563,2
LEFT,-5.4515,0.7066,2
LEFT,-4.1537,-1.4099,2
LEFT,-4.9510000000000005,0.7653,2
LEFT,-5.0745,1.0222,2
LEFT,-5.2404,2.4541,2
LEFT,-4.0313,-1.0823,2
LEFT,-4.6556,-1.6445,2
LEFT,-5.0033,2.0906,2
LEFT,-5.1362,2.8417,2
LEFT,-4.8814,-1.4186,2
LEFT,-4.9934,2.3191,2
LEFT,-5.1994,-2.9467,2
LEFT,-5.1507,2.8906,2
LEFT,-5.5276,-2.451,2
LEFT,-4.8277,-1.2971,2
LEFT,-5.8097,-2.074,2
LEFT,-4.2528,-2.5479,2
LEFT,-4.5377,0.0388,2
LEFT,-5.0242,0.9186,2
LEFT,-4.916,-2.0659,2
LEFT,-4.9038,2.4474,2
LEFT,-5.2006,-0.5829,2
LEFT,-4.2988,-2.376,2
LEFT,-5.2105,-1.3569,2
LEFT,-4.7693,-2.3345,2
LEFT,-4.5056,-1.5266,2
LEFT,-4.3536,-1.3880000000000001,2
LEFT,-4.1578,-1.2061,2
LEFT,-4.9548,-0.8166,2
LEFT,-5.7511,-2.0921,2
LEFT,-5.8993,-1.4452,2
LEFT,-4.083,-1.7984,2
LEFT,-4.4573,-2.5648,2
LEFT,-4.4497,-2.2035,2
LEFT,-5.4548,-0.6243,2
LEFT,-5.0482,-2.1757,2
LEFT,-5.1702,0.0957,2
LEFT,-4.1592,-2.1129,2
LEFT,-4.7372,-0.9893,2
LEFT,-5.4263,-1.0177,2
LEFT,-4.362,-1.6488,2
LEFT,-4.3948,-2.6138,2
LEFT,-5.6694,-1.7464,2
LEFT,-4.0696,-1.9035,2
LEFT,-5.0476,-1.5344,2
LEFT,-4.8823,-2.1586,2
LEFT,-4.5032,0.1139,2
LEFT,-4.9695,-0.5682,2
LEFT,-5.3197,-1.2047,2
LEFT,-5.3308,-0.8642,2
LEFT,-5.4158,-1.4534,2
LEFT,-5.278,-1.3430000000000002,2
LEFT,-4.3217,-1.1801,2
LEFT,-5.5748,-1.6167,2
LEFT,-5.0486,-0.5556,2
LEFT,-5.4752,-2.5666,2
LEFT,-4.7598,1.0908,2
LEFT,-4.5539,-0.991,2
LEFT,-5.757000000000001,-2.4199,2
LEFT,-4.1722,-1.0312,2
LEFT,-5.1887,0.6411,2
LEFT,-5.8627,-1.1096,2
LEFT,-5.0474,-2.3655,2
LEFT,-5.6444,-2.8611,2
LEFT,-5.242000000000001,-0.9353,2
LEFT,-4.8577,0.5589999999999999,2
LEFT,-4.7031,-1.2454,2
LEFT,-4.4344,-1.2884,2
LEFT,-5.0539,-0.8486,2
LEFT,-5.4910000000000005,-1.3314,2
LEFT,-4.1847,-1.05,2
LEFT,-5.1794,1.3741,2
LEFT,-4.6447,-2.1569,2
LEFT,-4.7085,-1.3219999999999998,2
LEFT,-5.7809,-1.4835,2
LEFT,-5.7933,-2.5084,2
LEFT,-5.7352,-2.696,2
LEFT,-5.9767,-1.4864,2
LEFT,-4.7138,-1.7442,2
LEFT,-5.7534,-2.1213,2
LEFT,-4.4245,-1.4331,2
LEFT,-4.0148,-2.8565,2
LEFT,-5.1515,1.5533,2
LEFT,-4.5276,-2.4824,2
LEFT,-4.5508,0.2647,2
LEFT,-4.6257,-2.4325,2
LEFT,-4.8424,1.6349,2
LEFT,-5.7466,-1.6408,2
LEFT,-4.633,-1.817,2
LEFT,-5.4274,-1.4031,2
LEFT,-5.5515,-2.7057,2
LEFT,-4.9409,2.9509,2
LEFT,-5.3318,0.9235,2
LEFT,-4.7876,1.8677,2
LEFT,-5.0991,0.4147,2
LEFT,-4.4915,-2.6602,2
LEFT,-5.0071,-0.5793,2
LEFT,-4.5524,-2.6665,2
LEFT,-5.0115,-2.6060000000000003,2
LEFT,-4.8331,-1.5096,2
LEFT,-4.9086,2.8643,2
LEFT,-4.9734,-1.0702,2
LEFT,-4.3083,-1.8428,2
LEFT,-5.7018,-1.5046,2
LEFT,-5.2468,-2.8389,2
LEFT,-4.6317,0.2345,2
LEFT,-5.2202,-0.669,2
LEFT,-5.2814,0.7276,2
LEFT,-5.1657,0.308,2
LEFT,-5.2626,-2.5469,2
LEFT,-4.3379,-1.0989,2
LEFT,-4.9067,2.0605,2
LEFT,-4.3357,-1.4368,2
LEFT,-4.7638,-1.9128,2
LEFT,-4.6819999999999995,-0.4831,2
LEFT,-5.023,-1.1285,2
LEFT,-5.0214,-2.865,2
LEFT,-5.563,-2.8812,2
LEFT,-4.2444,-1.8441,2
LEFT,-4.7106,0.5523,2
LEFT,-4.6339,-0.2435,2
LEFT,-5.5122,-1.8267,2
LEFT,-4.8552,-2.5205,2
LEFT,-5.2155,2.9033,2
LEFT,-5.8058,-2.7572,2
LEFT,-5.254,-1.6627,2
LEFT,-5.2733,-0.5207,2
LEFT,-5.3819,-2.4842,2
LEFT,-4.9028,0.6401,2
LEFT,-5.0159,-2.623,2
LEFT,-4.6257,-2.3422,2
LEFT,-4.0441,-1.7849,2
LEFT,-4.8286,-2.1452,2
LEFT,-5.4697,-1.0396,2
LEFT,-4.1491,-2.6996,2
LEFT,-4.7567,-2.2873,2
LEFT,-5.3645,0.4771,2
LEFT,-4.8932,-0.8452,2
LEFT,-5.2638,-0.9703,2
LEFT,-4.5338,-1.2789,2
LEFT,-5.7082,-1.3433,2
LEFT,-5.9929,-2.8236,2
LEFT,-5.4837,-0.7813,2
LEFT,-4.9565,-0.7579,2
LEFT,-4.7192,0.8516,2
LEFT,-4.1933,-1.2278,2
LEFT,-5.2825,-2.8105,2
LEFT,-4.0893,-2.2744,2
LEFT,-5.2486,-2.8517,2
LEFT,-5.136,2.022,2
LEFT,-5.0352,2.9377,2
LEFT,-4.5459,-2.5867,2
LEFT,-4.963,0.9663,2
LEFT,-5.13,-0.2698,2
LEFT,-4.8286,-1.0713,2
LEFT,-5.193,-2.5127,2
LEFT,-4.9077,-1.3465,2
LEFT,-5.4178,0.091,2
LEFT,-4.5156,-1.7914,2
LEFT,-4.4994,-1.8365,2
LEFT,-4.5797,-1.014,2
LEFT,-4.3501,-1.8294,2
LEFT,-4.3913,-1.6403,2
LEFT,-5.0268,2.1724,2
LEFT,-4.4566,-1.3625,2
LEFT,-5.1704,1.4492,2
LEFT,-5.5577,-1.0787,2
LEFT,-4.0929,-2.9659,2
LEFT,-4.9215,2.4146,2
LEFT,-4.1556,-2.9748,2
LEFT,-4.7829,-2.8489,2
LEFT,-5.5708,-1.5865,2
LEFT,-4.8974,0.3116,2
LEFT,-5.2902,-1.7247,2
LEFT,-4.3568,-2.8149,2
LEFT,-5.1189,-0.3221,2
LEFT,-5.2872,-0.29600000000000004,2
LEFT,-4.0591,-2.7362,2
LEFT,-4.1364,-1.8618,2
LEFT,-5.1193,2.8906,2
LEFT,-4.4623,-2.4684,2
LEFT,-4.789,0.9428,2
LEFT,-4.7957,1.9714,2
LEFT,-4.6898,-1.4576,2
LEFT,-5.7308,-1.6877,2
LEFT,-5.7179,-1.7429,2
LEFT,-4.6888,-2.4219,2
LEFT,-4.8835,0.7909,2
LEFT,-4.5253,-0.7038,2
LEFT,-5.3766,-2.3209999999999997,2
LEFT,-4.9894,-2.3621,2
LEFT,-4.6077,-0.9283,2
LEFT,-5.4526,-0.4783,2
LEFT,-4.0862,-2.7666,2
LEFT,-5.3662,-1.8601,2
LEFT,-5.9545,-2.8101,2
LEFT,-5.0839,1.8614,2
LEFT,-4.7326,-0.1775,2
LEFT,-5.8131,-1.2541,2
LEFT,-4.7918,2.105,2
LEFT,-4.019,-1.9079,2
LEFT,-5.0576,-1.6016,2
LEFT,-5.9189,-1.1544,2
LEFT,-5.2581,-1.2786,2
LEFT,-4.7012,-2.9723,2
LEFT,-5.105,1.8032,2
LEFT,-5.3308,-0.6278,2
LEFT,-5.763,-2.5913,2
LEFT,-5.4499,0.2076,2
LEFT,-5.4757,-1.0027,2
LEFT,-4.2639,-2.5888,2
